N  ; NuSMV ; Tool A ; Tool B
2 ; 0,47315 ; 2,43316 ; 0,79544
3 ; 0,74794 ; 2,73467 ; 0,98324
4 ; 1,08289 ; 3,06256 ; 1,27381
5 ; 1,25386 ; 3,36973 ; 1,48533
6 ; 1,53567 ; 3,96332 ; 1,80235
7 ; 1,84797 ; 4,37325 ; 1,88837
8 ; 2,20718 ; 4,72714 ; 2,52844
9 ; 2,49248 ; 4,81753 ; 2,47896
10 ; 2,33544 ; 5,31486 ; 2,90521
11 ; 2,82215 ; 5,98531 ; 2,98626
12 ; 3,39639 ; 6,13948 ; 3,60459
13 ; 3,32126 ; 6,47686 ; 3,56764
14 ; 3,55125 ; 6,62227 ; 3,57773
15 ; 3,46048 ; 6,60318 ; 3,57400
16 ; 4,31571 ; 7,64835 ; 4,42707
17 ; 4,60576 ; 7,65371 ; 4,22627
18 ; 5,18260 ; 8,59020 ; 5,01039
19 ; 4,84650 ; 8,45356 ; 4,96993
20 ; 5,71024 ; 9,53650 ; 5,67176
21 ; 5,72424 ; 9,45465 ; 5,70033
22 ; 6,06899 ; 10,10940 ; 6,09206
23 ; 5,90296 ; 10,07116 ; 5,92828
24 ; 6,88753 ; 11,20987 ; 6,75992
25 ; 7,03522 ; 11,73804 ; 7,01582 
26 ; 7,54952 ; 11,99309 ; 7,38528
27 ; 7,33675 ; 11,67834 ; 7,13444
28 ; 8,06338 ; 12,68771 ; 7,71038
29 ; 8,20422 ; 12,91021 ; 7,87788
30 ; 8,54878 ; 13,11573 ; 8,19251
31 ; 7,94571 ; 12,78798 ; 7,85700
32 ; 9,90672 ; 15,28753 ; 9,63551
33 ; 10,11580 ; 15,88861 ; 9,78087
34 ; 11,11002 ; 16,56230 ; 10,62133
35 ; 10,61065 ; 15,80272 ; 10,06372
36 ; 11,59252 ; 17,72830 ; 11,24636
37 ; 11,53723 ; 17,69370 ; 11,31011
38 ; 12,67165 ; 18,64603 ; 11,98843
39 ; 11,00431 ; 17,65223 ; 10,86738
40 ; 12,69590 ; 19,04368 ; 12,41810
41 ; 13,20706 ; 19,57042 ; 12,44281
42 ; 13,77036 ; 20,47983 ; 13,22012
43 ; 13,18782 ; 20,02971 ; 12,47567
44 ; 14,32990 ; 25,39463 ; 13,58777
45 ; 14,36183 ; 21,44537 ; 13,94394
46 ; 14,95479 ; 22,12583 ; 14,25181
47 ; 13,43168 ; 20,73758 ; 13,05426
48 ; 15,98159 ; 23,70596 ; 15,31843
49 ; 16,16464 ; 23,60020 ; 15,45360
50 ; 16,97730 ; 24,70541 ; 16,12190
51 ; 16,11835 ; 23,85669 ; 15,40426
52 ; 17,79928 ; 25,79341 ; 16,75522
53 ; 17,76064 ; 25,90684 ; 16,73780
54 ; 18,21419 ; 27,00050 ; 17,58865
55 ; 17,01403 ; 24,86276 ; 15,90956
56 ; 18,37570 ; 27,15807 ; 17,79100
57 ; 18,53841 ; 27,20882 ; 18,51711
58 ; 19,49099 ; 28,24091 ; 18,65924
59 ; 19,29563 ; 27,10213 ; 18,10029
