Bound ; NuSMV   ; Python + C (Lower interface) ; Python (sec 4.1) 
10;0,2124;0,4676;0,5354
11;0,2608;0,4958;0,612
12;0,3168;0,56;0,692
13;0,3734;0,6296;0,7764
14;0,4578;0,6808;0,8742
15;0,536;0,7358;0,982
16;0,6142;0,823;1,088
17;0,6642;0,9124;1,241
18;0,7584;0,9952;1,3424
19;0,8408;1,0814;1,5474
20;0,904;1,1934;1,7018
21;1,0528;1,2656;1,9792
22;1,1274;1,427;2,0982
23;1,2558;1,5598;2,3142
24;1,3782;1,672;2,5736
25;1,509;1,742;2,8424
26;1,7352;1,9462;3,1372
27;1,8296;1,9842;3,4706
28;2,0446;2,2632;3,8382
29;2,186;2,411;4,3322
30;2,25;2,5264;4,6878
