Difficulty ; NuSMV ; Tool
2;0,06814;0,22195
3;3,2503;3,41794
4;0,06707;0,22576
5;3,96214;4,04766
6;0,10555;0,39927
7;3,98746;4,50571
8;0,07875;0,24751
9;4,53896;4,46489
10;0,08922;0,25528
11;4,92367;5,14767
12;0,08371;0,24818
13;6,47093;5,91488
14;0,08228;0,2846
15;7,38785;6,75998
16;0,10394;0,28147
17;8,36564;6,81328
18;0,10196;0,31851
19;9,57003;8,65312
20;0,11285;0,2798
21;10,64231;8,86217
22;0,12969;0,3074
23;12,0784;9,26154
24;0,13917;0,30501
25;12,40395;8,3102
26;0,14378;0,31499
27;16,28226;11,29153
28;0,15032;0,32979
29;19,90541;10,82196
30;19,41764;10,09689
31;23,15749;10,10344
32;24,673;10,40539
33;28,94821;11,43764
34;29,27629;12,33525
35;34,541;12,53021
36;37,1425;13,00527
37;40,02136;12,96831
38;44,0814;13,28681
39;48,99589;13,71985
40;54,68173;14,46034
41;60,95146;14,86203
42;67,16649;15,09278
43;74,45154;15,73376
44;82,94708;15,93906
45;91,30594;16,7216
